areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-10-02,2643,20953291,1443,19341729,1200,1611559
nation,England,E92000001,2023-10-01,2360,20950648,1223,19340286,1137,1610359
nation,England,E92000001,2023-09-30,1928,20948288,1029,19339063,899,1609222
nation,England,E92000001,2023-09-29,2124,20946360,1260,19338034,864,1608323
nation,England,E92000001,2023-09-28,2318,20944236,1284,19336774,1034,1607459
nation,England,E92000001,2023-09-27,2667,20941918,1461,19335490,1206,1606425
nation,England,E92000001,2023-09-26,2698,20939251,1441,19334029,1257,1605219
nation,England,E92000001,2023-09-25,2561,20936553,1382,19332588,1179,1603962
nation,England,E92000001,2023-09-24,2007,20933992,1035,19331206,972,1602783
nation,England,E92000001,2023-09-23,1555,20931985,857,19330171,698,1601811
nation,England,E92000001,2023-09-22,1680,20930430,950,19329314,730,1601113
nation,England,E92000001,2023-09-21,1825,20928750,992,19328364,833,1600383
nation,England,E92000001,2023-09-20,1893,20926925,1030,19327372,863,1599550
nation,England,E92000001,2023-09-19,1949,20925032,1043,19326342,905,1598687
nation,England,E92000001,2023-09-18,1930,20923083,1050,19325299,880,1597782
nation,England,E92000001,2023-09-17,1604,20921153,826,19324249,778,1596902
nation,England,E92000001,2023-09-16,1318,20919549,731,19323423,587,1596124
nation,England,E92000001,2023-09-15,1340,20918231,787,19322692,553,1595537
nation,England,E92000001,2023-09-14,1532,20916891,832,19321905,700,1594984
nation,England,E92000001,2023-09-13,1522,20915359,877,19321073,645,1594284
nation,England,E92000001,2023-09-12,1675,20913837,994,19320196,681,1593639
nation,England,E92000001,2023-09-11,1823,20912162,1077,19319202,746,1592958
nation,England,E92000001,2023-09-10,1580,20910339,881,19318125,699,1592212
nation,England,E92000001,2023-09-09,1334,20908759,796,19317244,538,1591513
nation,England,E92000001,2023-09-08,1548,20907425,957,19316448,591,1590975
nation,England,E92000001,2023-09-07,1707,20905877,940,19315491,767,1590384
nation,England,E92000001,2023-09-06,1859,20904170,1059,19314551,800,1589617
nation,England,E92000001,2023-09-05,1891,20902311,1067,19313492,824,1588817
nation,England,E92000001,2023-09-04,1969,20900420,1153,19312425,816,1587993
nation,England,E92000001,2023-09-03,1637,20898451,883,19311272,754,1587177
nation,England,E92000001,2023-09-02,1327,20896814,752,19310389,575,1586423
nation,England,E92000001,2023-09-01,1512,20895487,860,19309637,652,1585848
nation,England,E92000001,2023-08-31,1446,20893975,811,19308777,635,1585196
nation,England,E92000001,2023-08-30,1488,20892529,813,19307966,675,1584561
nation,England,E92000001,2023-08-29,1368,20891041,794,19307153,574,1583886
nation,England,E92000001,2023-08-28,1089,20889673,616,19306359,473,1583312
nation,England,E92000001,2023-08-27,901,20888584,532,19305743,369,1582839
nation,England,E92000001,2023-08-26,856,20887683,495,19305211,361,1582470
nation,England,E92000001,2023-08-25,988,20886827,603,19304716,385,1582109
nation,England,E92000001,2023-08-24,1098,20885839,654,19304113,444,1581724
nation,England,E92000001,2023-08-23,1096,20884741,647,19303459,449,1581280
nation,England,E92000001,2023-08-22,1177,20883645,699,19302812,478,1580831
nation,England,E92000001,2023-08-21,1182,20882468,675,19302113,507,1580353
nation,England,E92000001,2023-08-20,963,20881286,531,19301438,432,1579846
nation,England,E92000001,2023-08-19,848,20880323,523,19300907,325,1579414
nation,England,E92000001,2023-08-18,991,20879475,634,19300384,357,1579089
nation,England,E92000001,2023-08-17,1047,20878484,612,19299750,435,1578732
nation,England,E92000001,2023-08-16,1070,20877437,637,19299138,432,1578297
nation,England,E92000001,2023-08-15,1092,20876367,633,19298501,459,1577865
nation,England,E92000001,2023-08-14,1098,20875275,638,19297868,460,1577406
nation,England,E92000001,2023-08-13,976,20874177,581,19297230,395,1576946
nation,England,E92000001,2023-08-12,853,20873201,491,19296649,362,1576551
nation,England,E92000001,2023-08-11,919,20872348,563,19296158,356,1576189
nation,England,E92000001,2023-08-10,989,20871429,596,19295595,393,1575833
nation,England,E92000001,2023-08-09,1033,20870440,609,19294999,424,1575440
nation,England,E92000001,2023-08-08,1088,20869407,618,19294390,470,1575016
nation,England,E92000001,2023-08-07,1021,20868319,550,19293772,471,1574546
nation,England,E92000001,2023-08-06,827,20867298,470,19293222,357,1574075
nation,England,E92000001,2023-08-05,681,20866471,388,19292752,293,1573718
nation,England,E92000001,2023-08-04,771,20865790,470,19292364,301,1573425
nation,England,E92000001,2023-08-03,807,20865019,484,19291894,323,1573124
nation,England,E92000001,2023-08-02,824,20864212,483,19291410,340,1572801
nation,England,E92000001,2023-08-01,846,20863388,505,19290927,341,1572461
nation,England,E92000001,2023-07-31,847,20862542,505,19290422,342,1572120
nation,England,E92000001,2023-07-30,752,20861695,433,19289917,319,1571778
nation,England,E92000001,2023-07-29,629,20860943,365,19289484,264,1571459
nation,England,E92000001,2023-07-28,625,20860314,395,19289119,230,1571195
nation,England,E92000001,2023-07-27,629,20859689,375,19288724,254,1570965
nation,England,E92000001,2023-07-26,622,20859060,377,19288349,245,1570711
nation,England,E92000001,2023-07-25,647,20858438,359,19287972,288,1570466
nation,England,E92000001,2023-07-24,630,20857791,349,19287613,281,1570178
nation,England,E92000001,2023-07-23,495,20857161,305,19287264,190,1569897
nation,England,E92000001,2023-07-22,412,20856666,246,19286959,166,1569707
nation,England,E92000001,2023-07-21,444,20856254,272,19286713,172,1569541
nation,England,E92000001,2023-07-20,497,20855810,288,19286441,209,1569369
nation,England,E92000001,2023-07-19,468,20855313,269,19286153,199,1569160
nation,England,E92000001,2023-07-18,517,20854845,280,19285884,237,1568961
nation,England,E92000001,2023-07-17,491,20854328,267,19285604,224,1568724
nation,England,E92000001,2023-07-16,384,20853837,229,19285337,155,1568500
nation,England,E92000001,2023-07-15,338,20853453,192,19285108,146,1568345
nation,England,E92000001,2023-07-14,340,20853115,208,19284916,132,1568199
nation,England,E92000001,2023-07-13,417,20852775,231,19284708,186,1568067
nation,England,E92000001,2023-07-12,418,20852358,241,19284477,177,1567881
nation,England,E92000001,2023-07-11,450,20851940,273,19284236,177,1567704
nation,England,E92000001,2023-07-10,457,20851490,255,19283963,202,1567527
nation,England,E92000001,2023-07-09,391,20851033,222,19283708,169,1567325
nation,England,E92000001,2023-07-08,308,20850642,184,19283486,124,1567156
nation,England,E92000001,2023-07-07,350,20850334,233,19283302,117,1567032
nation,England,E92000001,2023-07-06,316,20849984,187,19283069,129,1566915
nation,England,E92000001,2023-07-05,344,20849668,182,19282882,162,1566786
nation,England,E92000001,2023-07-04,309,20849324,183,19282700,126,1566624
nation,England,E92000001,2023-07-03,346,20849015,194,19282517,152,1566498
nation,England,E92000001,2023-07-02,264,20848669,142,19282323,122,1566346
nation,England,E92000001,2023-07-01,209,20848405,126,19282181,83,1566224
nation,England,E92000001,2023-06-30,236,20848196,149,19282055,87,1566141
nation,England,E92000001,2023-06-29,253,20847960,148,19281906,105,1566054
nation,England,E92000001,2023-06-28,298,20847707,168,19281758,130,1565949
nation,England,E92000001,2023-06-27,295,20847409,172,19281590,123,1565819
nation,England,E92000001,2023-06-26,306,20847114,172,19281418,134,1565696
nation,England,E92000001,2023-06-25,303,20846808,184,19281246,119,1565562
nation,England,E92000001,2023-06-24,259,20846505,155,19281062,104,1565443
nation,England,E92000001,2023-06-23,289,20846246,199,19280907,90,1565339
nation,England,E92000001,2023-06-22,346,20845957,221,19280708,125,1565249
nation,England,E92000001,2023-06-21,371,20845611,243,19280487,128,1565124
nation,England,E92000001,2023-06-20,396,20845240,242,19280244,154,1564996
nation,England,E92000001,2023-06-19,421,20844844,257,19280002,164,1564842
nation,England,E92000001,2023-06-18,350,20844423,216,19279745,134,1564678
nation,England,E92000001,2023-06-17,333,20844073,197,19279529,136,1564544
nation,England,E92000001,2023-06-16,340,20843740,225,19279332,115,1564408
nation,England,E92000001,2023-06-15,385,20843400,245,19279107,140,1564293
nation,England,E92000001,2023-06-14,463,20843015,304,19278862,159,1564153
nation,England,E92000001,2023-06-13,509,20842552,322,19278558,187,1563994
nation,England,E92000001,2023-06-12,585,20842043,373,19278236,212,1563807
nation,England,E92000001,2023-06-11,517,20841458,311,19277863,206,1563595
nation,England,E92000001,2023-06-10,382,20840941,241,19277552,141,1563389
nation,England,E92000001,2023-06-09,469,20840559,306,19277311,163,1563248
nation,England,E92000001,2023-06-08,578,20840090,358,19277005,220,1563085
nation,England,E92000001,2023-06-07,682,20839512,442,19276647,240,1562865
nation,England,E92000001,2023-06-06,757,20838830,469,19276205,288,1562625
nation,England,E92000001,2023-06-05,806,20838073,491,19275736,315,1562337
nation,England,E92000001,2023-06-04,615,20837267,375,19275245,240,1562022
nation,England,E92000001,2023-06-03,472,20836652,287,19274870,185,1561782
nation,England,E92000001,2023-06-02,578,20836180,388,19274583,190,1561597
nation,England,E92000001,2023-06-01,674,20835602,427,19274195,247,1561407
nation,England,E92000001,2023-05-31,813,20834928,550,19273768,263,1561160
nation,England,E92000001,2023-05-30,780,20834115,469,19273218,311,1560897
nation,England,E92000001,2023-05-29,746,20833335,488,19272749,258,1560586
nation,England,E92000001,2023-05-28,596,20832589,383,19272261,213,1560328
nation,England,E92000001,2023-05-27,567,20831993,351,19271878,216,1560115
nation,England,E92000001,2023-05-26,708,20831426,457,19271527,251,1559899
nation,England,E92000001,2023-05-25,821,20830718,559,19271070,262,1559648
nation,England,E92000001,2023-05-24,922,20829897,551,19270511,371,1559386
nation,England,E92000001,2023-05-23,1041,20828975,633,19269960,408,1559015
nation,England,E92000001,2023-05-22,1095,20827934,709,19269327,386,1558607
nation,England,E92000001,2023-05-21,881,20826839,536,19268618,345,1558221
nation,England,E92000001,2023-05-20,717,20825958,462,19268082,255,1557876
nation,England,E92000001,2023-05-19,881,20825241,574,19267620,307,1557621
nation,England,E92000001,2023-05-18,974,20824360,639,19267046,335,1557314
nation,England,E92000001,2023-05-17,991,20823386,609,19266407,382,1556979
nation,England,E92000001,2023-05-16,1069,20822395,677,19265798,392,1556597
nation,England,E92000001,2023-05-15,1139,20821326,699,19265121,440,1556205
nation,England,E92000001,2023-05-14,1030,20820187,625,19264422,405,1555765
nation,England,E92000001,2023-05-13,782,20819157,511,19263797,271,1555360
nation,England,E92000001,2023-05-12,948,20818375,626,19263286,322,1555089
nation,England,E92000001,2023-05-11,1196,20817427,772,19262660,424,1554767
nation,England,E92000001,2023-05-10,1267,20816231,773,19261888,494,1554343
nation,England,E92000001,2023-05-09,1447,20814964,899,19261115,548,1553849
nation,England,E92000001,2023-05-08,1328,20813517,832,19260216,496,1553301
nation,England,E92000001,2023-05-07,1109,20812189,681,19259384,428,1552805
nation,England,E92000001,2023-05-06,934,20811080,598,19258703,336,1552377
nation,England,E92000001,2023-05-05,1198,20810146,799,19258105,399,1552041
nation,England,E92000001,2023-05-04,1479,20808948,909,19257306,570,1551642
nation,England,E92000001,2023-05-03,1526,20807469,938,19256397,588,1551072
nation,England,E92000001,2023-05-02,1777,20805943,1112,19255459,665,1550484
nation,England,E92000001,2023-05-01,1651,20804166,1013,19254347,638,1549819
nation,England,E92000001,2023-04-30,1240,20802515,819,19253334,421,1549181
nation,England,E92000001,2023-04-29,1211,20801275,760,19252515,451,1548760
nation,England,E92000001,2023-04-28,1369,20800064,912,19251755,457,1548309
nation,England,E92000001,2023-04-27,1514,20798695,975,19250843,539,1547852
nation,England,E92000001,2023-04-26,1569,20797181,972,19249868,597,1547313
nation,England,E92000001,2023-04-25,1604,20795612,982,19248896,622,1546716
nation,England,E92000001,2023-04-24,1706,20794008,1031,19247914,675,1546094
nation,England,E92000001,2023-04-23,1432,20792302,865,19246883,567,1545419
nation,England,E92000001,2023-04-22,1191,20790870,769,19246018,422,1544852
nation,England,E92000001,2023-04-21,1343,20789679,878,19245249,465,1544430
nation,England,E92000001,2023-04-20,1488,20788336,982,19244371,506,1543965
nation,England,E92000001,2023-04-19,1704,20786848,1086,19243389,618,1543459
nation,England,E92000001,2023-04-18,1803,20785144,1144,19242303,659,1542841
nation,England,E92000001,2023-04-17,2059,20783341,1312,19241159,747,1542182
nation,England,E92000001,2023-04-16,1788,20781282,1123,19239847,665,1541435
nation,England,E92000001,2023-04-15,1271,20779494,791,19238724,480,1540770
nation,England,E92000001,2023-04-14,1553,20778223,1002,19237933,551,1540290
nation,England,E92000001,2023-04-13,1880,20776670,1228,19236931,652,1539739
nation,England,E92000001,2023-04-12,2055,20774790,1327,19235703,728,1539087
nation,England,E92000001,2023-04-11,2281,20772735,1476,19234376,805,1538359
nation,England,E92000001,2023-04-10,2133,20770454,1340,19232900,793,1537554
nation,England,E92000001,2023-04-09,1643,20768321,1098,19231560,545,1536761
nation,England,E92000001,2023-04-08,1531,20766678,1009,19230462,522,1536216
nation,England,E92000001,2023-04-07,1599,20765147,1058,19229453,541,1535694
nation,England,E92000001,2023-04-06,1966,20763548,1292,19228395,674,1535153
nation,England,E92000001,2023-04-05,2237,20761582,1422,19227103,815,1534479
nation,England,E92000001,2023-04-04,2185,20759345,1436,19225681,749,1533664
nation,England,E92000001,2023-04-03,2457,20757160,1562,19224245,895,1532915
nation,England,E92000001,2023-04-02,2249,20754703,1417,19222683,832,1532020
nation,England,E92000001,2023-04-01,2083,20752454,1340,19221266,743,1531188
nation,England,E92000001,2023-03-31,2509,20750371,1600,19219926,909,1530445
nation,England,E92000001,2023-03-30,3050,20747862,1941,19218326,1109,1529536
nation,England,E92000001,2023-03-29,3438,20744812,2116,19216385,1322,1528427
nation,England,E92000001,2023-03-28,3597,20741374,2220,19214269,1377,1527105
nation,England,E92000001,2023-03-27,3924,20737777,2351,19212049,1573,1525728
nation,England,E92000001,2023-03-26,3156,20733853,1883,19209698,1273,1524155
nation,England,E92000001,2023-03-25,2748,20730697,1712,19207815,1036,1522882
nation,England,E92000001,2023-03-24,3744,20727949,2313,19206103,1431,1521846
nation,England,E92000001,2023-03-23,3969,20724205,2375,19203790,1594,1520415
nation,England,E92000001,2023-03-22,4323,20720236,2616,19201415,1707,1518821
nation,England,E92000001,2023-03-21,4747,20715913,2880,19198799,1867,1517114
nation,England,E92000001,2023-03-20,4730,20711166,2792,19195919,1938,1515247
nation,England,E92000001,2023-03-19,3683,20706436,2178,19193127,1505,1513309
nation,England,E92000001,2023-03-18,3105,20702753,1920,19190949,1185,1511804
nation,England,E92000001,2023-03-17,3718,20699648,2344,19189029,1374,1510619
nation,England,E92000001,2023-03-16,4351,20695930,2647,19186685,1704,1509245
nation,England,E92000001,2023-03-15,4371,20691579,2665,19184038,1706,1507541
nation,England,E92000001,2023-03-14,5072,20687208,3066,19181373,2006,1505835
nation,England,E92000001,2023-03-13,5289,20682136,3138,19178307,2151,1503829
nation,England,E92000001,2023-03-12,4026,20676847,2390,19175169,1636,1501678
nation,England,E92000001,2023-03-11,3084,20672821,1892,19172779,1192,1500042
nation,England,E92000001,2023-03-10,3592,20669737,2267,19170887,1325,1498850
nation,England,E92000001,2023-03-09,3961,20666145,2427,19168620,1534,1497525
nation,England,E92000001,2023-03-08,4318,20662184,2638,19166193,1680,1495991
nation,England,E92000001,2023-03-07,4455,20657866,2735,19163555,1720,1494311
nation,England,E92000001,2023-03-06,4577,20653411,2695,19160820,1882,1492591
nation,England,E92000001,2023-03-05,3155,20648834,1899,19158125,1256,1490709
nation,England,E92000001,2023-03-04,2572,20645679,1557,19156226,1015,1489453
nation,England,E92000001,2023-03-03,3421,20643107,2081,19154669,1340,1488438
nation,England,E92000001,2023-03-02,3565,20639686,2235,19152588,1330,1487098
nation,England,E92000001,2023-03-01,3973,20636121,2441,19150353,1532,1485768
nation,England,E92000001,2023-02-28,4147,20632148,2472,19147912,1675,1484236
nation,England,E92000001,2023-02-27,4319,20628001,2630,19145440,1689,1482561
nation,England,E92000001,2023-02-26,2901,20623682,1779,19142810,1122,1480872
nation,England,E92000001,2023-02-25,2529,20620781,1591,19141031,938,1479750
nation,England,E92000001,2023-02-24,3112,20618252,1929,19139440,1183,1478812
nation,England,E92000001,2023-02-23,3475,20615140,2174,19137511,1301,1477629
nation,England,E92000001,2023-02-22,3855,20611665,2320,19135337,1535,1476328
nation,England,E92000001,2023-02-21,4326,20607810,2557,19133017,1769,1474793
nation,England,E92000001,2023-02-20,4552,20603484,2710,19130460,1842,1473024
nation,England,E92000001,2023-02-19,3435,20598932,2060,19127750,1375,1471182
nation,England,E92000001,2023-02-18,2907,20595497,1843,19125690,1064,1469807
nation,England,E92000001,2023-02-17,3780,20592590,2316,19123847,1464,1468743
nation,England,E92000001,2023-02-16,4005,20588810,2505,19121531,1500,1467279
nation,England,E92000001,2023-02-15,3894,20584805,2386,19119026,1508,1465779
nation,England,E92000001,2023-02-14,4356,20580911,2634,19116640,1722,1464271
nation,England,E92000001,2023-02-13,4549,20576555,2765,19114006,1784,1462549
nation,England,E92000001,2023-02-12,2920,20572006,1808,19111241,1112,1460765
nation,England,E92000001,2023-02-11,2396,20569086,1508,19109433,888,1459653
nation,England,E92000001,2023-02-10,3051,20566690,1946,19107925,1105,1458765
nation,England,E92000001,2023-02-09,3043,20563639,1885,19105979,1158,1457660
nation,England,E92000001,2023-02-08,3335,20560596,2004,19104094,1331,1456502
nation,England,E92000001,2023-02-07,3395,20557261,2064,19102090,1331,1455171
nation,England,E92000001,2023-02-06,3621,20553866,2160,19100026,1461,1453840
nation,England,E92000001,2023-02-05,2616,20550245,1572,19097866,1044,1452379
nation,England,E92000001,2023-02-04,2223,20547629,1372,19096294,851,1451335
nation,England,E92000001,2023-02-03,2751,20545406,1711,19094922,1040,1450484
nation,England,E92000001,2023-02-02,2956,20542655,1859,19093211,1097,1449444
nation,England,E92000001,2023-02-01,3214,20539699,1963,19091352,1251,1448347
nation,England,E92000001,2023-01-31,3280,20536485,1944,19089389,1336,1447096
nation,England,E92000001,2023-01-30,3270,20533205,1976,19087445,1294,1445760
nation,England,E92000001,2023-01-29,2249,20529935,1307,19085469,942,1444466
nation,England,E92000001,2023-01-28,1802,20527686,1175,19084162,627,1443524
nation,England,E92000001,2023-01-27,2270,20525884,1453,19082987,817,1442897
nation,England,E92000001,2023-01-26,2338,20523614,1467,19081534,871,1442080
nation,England,E92000001,2023-01-25,2422,20521276,1469,19080067,953,1441209
nation,England,E92000001,2023-01-24,2550,20518854,1533,19078598,1017,1440256
nation,England,E92000001,2023-01-23,2382,20516304,1447,19077065,935,1439239
nation,England,E92000001,2023-01-22,1747,20513922,1016,19075618,731,1438304
nation,England,E92000001,2023-01-21,1400,20512175,902,19074602,498,1437573
nation,England,E92000001,2023-01-20,1699,20510775,1094,19073700,605,1437075
nation,England,E92000001,2023-01-19,1808,20509076,1122,19072606,686,1436470
nation,England,E92000001,2023-01-18,1901,20507268,1212,19071484,689,1435784
nation,England,E92000001,2023-01-17,1988,20505367,1247,19070272,741,1435095
nation,England,E92000001,2023-01-16,2307,20503379,1401,19069025,906,1434354
nation,England,E92000001,2023-01-15,1673,20501072,1020,19067624,653,1433448
nation,England,E92000001,2023-01-14,1327,20499399,897,19066604,430,1432795
nation,England,E92000001,2023-01-13,1905,20498072,1212,19065707,693,1432365
nation,England,E92000001,2023-01-12,2204,20496167,1432,19064495,772,1431672
nation,England,E92000001,2023-01-11,2373,20493963,1560,19063063,813,1430900
nation,England,E92000001,2023-01-10,2803,20491590,1796,19061503,1007,1430087
nation,England,E92000001,2023-01-09,3212,20488787,2029,19059707,1183,1429080
nation,England,E92000001,2023-01-08,2501,20485575,1596,19057678,905,1427897
nation,England,E92000001,2023-01-07,2417,20483074,1631,19056082,786,1426992
nation,England,E92000001,2023-01-06,3412,20480657,2293,19054451,1119,1426206
nation,England,E92000001,2023-01-05,4168,20477245,2652,19052158,1516,1425087
nation,England,E92000001,2023-01-04,5009,20473077,3167,19049506,1842,1423571
nation,England,E92000001,2023-01-03,5739,20468068,3567,19046339,2172,1421729
nation,England,E92000001,2023-01-02,4636,20462329,2947,19042772,1689,1419557
nation,England,E92000001,2023-01-01,3338,20457693,2278,19039825,1060,1417868
nation,England,E92000001,2022-12-31,3891,20454355,2649,19037547,1242,1416808
nation,England,E92000001,2022-12-30,5524,20450464,3765,19034898,1759,1415566
nation,England,E92000001,2022-12-29,6953,20444940,4717,19031133,2236,1413807
nation,England,E92000001,2022-12-28,7609,20437987,5076,19026416,2533,1411571
nation,England,E92000001,2022-12-27,5977,20430378,3921,19021340,2056,1409038
nation,England,E92000001,2022-12-26,4499,20424401,3053,19017419,1446,1406982
nation,England,E92000001,2022-12-25,3382,20419902,2413,19014366,969,1405536
nation,England,E92000001,2022-12-24,3777,20416520,2735,19011953,1042,1404567
nation,England,E92000001,2022-12-23,5225,20412743,3648,19009218,1577,1403525
nation,England,E92000001,2022-12-22,6241,20407518,4240,19005570,2001,1401948
nation,England,E92000001,2022-12-21,7042,20401277,4739,19001330,2303,1399947
nation,England,E92000001,2022-12-20,7836,20394235,5298,18996591,2538,1397644
nation,England,E92000001,2022-12-19,8240,20386399,5466,18991293,2774,1395106
nation,England,E92000001,2022-12-18,5212,20378159,3481,18985827,1731,1392332
nation,England,E92000001,2022-12-17,4273,20372947,2837,18982346,1436,1390601
nation,England,E92000001,2022-12-16,5525,20368674,3773,18979509,1752,1389165
nation,England,E92000001,2022-12-15,5549,20363149,3620,18975736,1929,1387413
nation,England,E92000001,2022-12-14,5962,20357600,3900,18972116,2062,1385484
nation,England,E92000001,2022-12-13,6483,20351638,4219,18968216,2264,1383422
nation,England,E92000001,2022-12-12,6356,20345155,4161,18963997,2195,1381158
nation,England,E92000001,2022-12-11,4223,20338799,2701,18959836,1522,1378963
nation,England,E92000001,2022-12-10,3286,20334576,2181,18957135,1105,1377441
nation,England,E92000001,2022-12-09,3824,20331290,2561,18954954,1263,1376336
nation,England,E92000001,2022-12-08,4092,20327466,2675,18952393,1417,1375073
nation,England,E92000001,2022-12-07,4640,20323374,2945,18949718,1695,1373656
nation,England,E92000001,2022-12-06,4761,20318734,3055,18946773,1706,1371961
nation,England,E92000001,2022-12-05,4850,20313973,3016,18943718,1834,1370255
nation,England,E92000001,2022-12-04,3409,20309123,2182,18940702,1227,1368421
nation,England,E92000001,2022-12-03,2481,20305714,1621,18938520,860,1367194
nation,England,E92000001,2022-12-02,3275,20303233,2151,18936899,1124,1366334
nation,England,E92000001,2022-12-01,3214,20299958,2063,18934748,1151,1365210
nation,England,E92000001,2022-11-30,3608,20296744,2263,18932685,1345,1364059
nation,England,E92000001,2022-11-29,3972,20293136,2525,18930422,1447,1362714
nation,England,E92000001,2022-11-28,4237,20289164,2702,18927897,1535,1361267
nation,England,E92000001,2022-11-27,3152,20284927,1965,18925195,1187,1359732
nation,England,E92000001,2022-11-26,2304,20281775,1486,18923230,818,1358545
nation,England,E92000001,2022-11-25,2638,20279471,1772,18921744,866,1357727
nation,England,E92000001,2022-11-24,3007,20276833,1882,18919972,1125,1356861
nation,England,E92000001,2022-11-23,3240,20273826,2094,18918090,1146,1355736
nation,England,E92000001,2022-11-22,3451,20270586,2121,18915996,1330,1354590
nation,England,E92000001,2022-11-21,3549,20267135,2181,18913875,1368,1353260
nation,England,E92000001,2022-11-20,2613,20263586,1644,18911694,969,1351892
nation,England,E92000001,2022-11-19,2207,20260973,1465,18910050,742,1350923
nation,England,E92000001,2022-11-18,2501,20258766,1669,18908585,832,1350181
nation,England,E92000001,2022-11-17,2703,20256265,1713,18906916,990,1349349
nation,England,E92000001,2022-11-16,2933,20253562,1910,18905203,1023,1348359
nation,England,E92000001,2022-11-15,3160,20250629,2019,18903293,1141,1347336
nation,England,E92000001,2022-11-14,3494,20247469,2209,18901274,1285,1346195
nation,England,E92000001,2022-11-13,2647,20243975,1689,18899065,958,1344910
nation,England,E92000001,2022-11-12,2172,20241328,1474,18897376,698,1343952
nation,England,E92000001,2022-11-11,2562,20239156,1729,18895902,833,1343254
nation,England,E92000001,2022-11-10,2806,20236594,1887,18894173,919,1342421
nation,England,E92000001,2022-11-09,3185,20233788,2107,18892286,1078,1341502
nation,England,E92000001,2022-11-08,3380,20230603,2186,18890179,1194,1340424
nation,England,E92000001,2022-11-07,3879,20227223,2494,18887993,1385,1339230
nation,England,E92000001,2022-11-06,2917,20223344,1863,18885499,1054,1337845
nation,England,E92000001,2022-11-05,2374,20220427,1591,18883636,783,1336791
nation,England,E92000001,2022-11-04,2760,20218053,1928,18882045,832,1336008
nation,England,E92000001,2022-11-03,3261,20215293,2201,18880117,1060,1335176
